time,Open,Close,High,Low,Volume,Trade_Count,num_blocks,avg_diff,avg_gas_limit,total_gas_used,avg_block_size,num_transactions
2021-09-23 18:00:00+00:00,3164.99,3147.8,3173.57,3131.06,1954.20773764,855.0,261,8803480517963709,30009537.80842909,4061787679,74679.40996168579,43921
2021-09-23 19:00:00+00:00,3151.75,3150.35,3159.0,3141.3,1004.73999844,545.0,282,8820147254859109,30011525.64893617,4303671870,82327.54255319154,49786
2021-09-23 20:00:00+00:00,3151.21,3142.22,3152.31,3125.02,1574.50662738,653.0,266,8849206582038983,30012335.02631579,4070406488,86051.71804511278,50278
2021-09-23 21:00:00+00:00,3142.01,3145.36,3150.8,3132.73,1185.55433474,576.0,276,8921185098245919,30003819.25724637,4302968680,90891.3623188406,49021
2021-09-23 22:00:00+00:00,3144.94,3145.66,3162.69,3127.55,1338.36246605,971.0,269,8862739865235169,30014805.955390327,4121845419,90800.55762081787,46513
2021-09-23 23:00:00+00:00,3145.66,3154.84,3158.48,3126.67,648.75735987,631.0,281,8917905856200102,30009797.846975096,4365594067,86841.62633451956,48155
2021-09-24 00:00:00+00:00,3154.45,3129.18,3161.69,3128.58,791.50344651,739.0,269,8909692216771928,30013608.825278804,4084915562,88824.23420074349,44827
2021-09-24 01:00:00+00:00,3129.19,3097.99,3139.22,3093.34,656.64148018,715.0,292,9025666284927003,30017354.84931507,4548912146,98463.72602739726,50849
2021-09-24 02:00:00+00:00,3099.2,3100.01,3109.42,3086.02,1167.45213062,631.0,314,9220687950115904,30009794.235668797,4788016234,88564.63057324842,62877
2021-09-24 03:00:00+00:00,3101.99,3077.02,3111.63,3072.16,640.21181666,558.0,265,9334971694919466,30014256.50188679,4111312772,92284.41886792461,48903
2021-09-24 04:00:00+00:00,3077.01,3079.7,3088.3,3060.78,699.17563202,498.0,261,9251173119261507,30012007.766283523,4028094400,92539.19157088117,45498
2021-09-24 05:00:00+00:00,3078.01,3073.87,3081.86,3043.59,853.67049405,741.0,259,9233169026572933,30008593.984555993,3978927762,91945.65637065633,45638
2021-09-24 06:00:00+00:00,3073.88,3061.55,3096.62,3061.12,476.64561323,486.0,278,9191186267200543,30015066.010791354,4279492058,87783.78057553957,52091
2021-09-24 07:00:00+00:00,3061.56,3090.36,3117.15,3059.65,2100.60075725,1073.0,245,9152198888651370,30023788.387755103,3793581346,91383.9795918368,56633
